sequenceID	species	genotype	subtype
A15114	SRLV	A	A1
AB818536	SRLV	A	A3
AF015180	SRLV	BC	B1
AF015181	SRLV	BC	B1
AF015182	SRLV	BC	B1
AF105154	SRLV	BC	B1
AF105155	SRLV	BC	B1
AF105156	SRLV	BC	B1
AF105157	SRLV	BC	B1
AF105158	SRLV	BC	B1
AF105159	SRLV	BC	B1
AF105160	SRLV	BC	B1
AF105161	SRLV	BC	B1
AF105162	SRLV	BC	B1
AF105163	SRLV	BC	B1
AF105164	SRLV	BC	B1
AF105165	SRLV	BC	B1
AF105166	SRLV	BC	B1
AF105167	SRLV	BC	B1
AF105168	SRLV	BC	B1
AF105169	SRLV	BC	B1
AF105170	SRLV	BC	B1
AF105171	SRLV	BC	B1
AF105172	SRLV	BC	B1
AF105173	SRLV	BC	B1
AF105174	SRLV	BC	B1
AF105175	SRLV	BC	B1
AF105176	SRLV	BC	B1
AF105177	SRLV	BC	B1
AF105178	SRLV	BC	B1
AF105179	SRLV	BC	B1
AF105180	SRLV	BC	B1
AF105181	SRLV	BC	B1
AF105182	SRLV	BC	B1
AF105183	SRLV	BC	B1
AF105184	SRLV	BC	B1
AF105185	SRLV	BC	B1
AF105186	SRLV	BC	B1
AF105187	SRLV	BC	B1
AF105188	SRLV	BC	B1
AF105189	SRLV	BC	B1
AF105190	SRLV	BC	B1
AF105191	SRLV	BC	B1
AF105192	SRLV	BC	B1
AF105193	SRLV	BC	B1
AF105194	SRLV	BC	B1
AF105195	SRLV	BC	B1
AF105196	SRLV	BC	B1
AF105197	SRLV	BC	B1
AF105198	SRLV	BC	B1
AF156858	SRLV	BC	B1
AF156859	SRLV	BC	B1
AF156860	SRLV	BC	B1
AF156861	SRLV	BC	B1
AF156862	SRLV	BC	B1
AF156863	SRLV	BC	B1
AF156864	SRLV	BC	B1
AF156865	SRLV	BC	B1
AF156866	SRLV	BC	B1
AF156867	SRLV	BC	B1
AF156868	SRLV	BC	B1
AF156869	SRLV	BC	B1
AF156870	SRLV	BC	B1
AF156871	SRLV	BC	B1
AF156872	SRLV	BC	B1
