taxon	sequenceID	combined	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/AF322109	AF322109	AF322109/B/C/Norway/-/1GA	16476978	ncbi-refseqs-core	SRLV	1GA	Norway	C	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/AF479638	AF479638	AF479638/A/A1/Portugal/1996/1996		ncbi-refseqs-srlv	SRLV	1996	Portugal	A1	A	1996
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/AY445885	AY445885	AY445885/A/A4/Switzerland/1999/1999		ncbi-refseqs-srlv	SRLV	1999	Switzerland	A4	A	1999
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/AY900630	AY900630	AY900630/B/B1/China/1992/1992		ncbi-refseqs-srlv	SRLV	1992	China	B1	B	1992
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/EU293537	EU293537	EU293537/E/E1/Italy/-/Roccaverano	18987157	ncbi-refseqs-core	SRLV	Roccaverano	Italy	E1	E	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/FJ195346	FJ195346	FJ195346/B/B2/Spain/2004/2004		ncbi-refseqs-srlv	SRLV	2004	Spain	B2	B	2004
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/GQ381130	GQ381130	GQ381130/E/E2/Italy/-/Seui	20060658	ncbi-refseqs-core	SRLV	Seui	Italy	E2	E	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/GU120138	GU120138	GU120138/B/B1/China/2009/2009		ncbi-refseqs-srlv	SRLV	2009	China	B1	B	2009
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/HM210570	HM210570	HM210570/B/B1/Mexico/2004/2004		ncbi-refseqs-srlv	SRLV	2004	Mexico	B1	B	2004
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/HQ848062	HQ848062	HQ848062/A/A4/Spain/2005/2005		ncbi-refseqs-srlv	SRLV	2005	Spain	A4	A	2005
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/JF502416	JF502416	JF502416/B/B3/Italy/-/Fonni	21562119	ncbi-refseqs-core	SRLV	Fonni	Italy	B3	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/JF502417	JF502417	JF502417/B/B3/Italy/2004/2004		ncbi-refseqs-srlv	SRLV	2004	Italy	B3	B	2004
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT214469	KT214469	KT214469/B/B1/China/1993/1993		ncbi-refseqs-srlv	SRLV	1993	China	B1	B	1993
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT453988	KT453988	KT453988/A/A4/Switzerland/2011/2011		ncbi-refseqs-srlv	SRLV	2011	Switzerland	A4	A	2011
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT453989	KT453989	KT453989/A/A4/Switzerland/2011/2011		ncbi-refseqs-srlv	SRLV	2011	Switzerland	A4	A	2011
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT453990	KT453990	KT453990/A/A4/Switzerland/2011/2011		ncbi-refseqs-srlv	SRLV	2011	Switzerland	A4	A	2011
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT749878	KT749878	KT749878/B/B1/China/1993/1993		ncbi-refseqs-srlv	SRLV	1993	China	B1	B	1993
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT749879	KT749879	KT749879/B/B1/China/1993/1993		ncbi-refseqs-srlv	SRLV	1993	China	B1	B	1993
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT749880	KT749880	KT749880/B/B1/China/-/guizhou		ncbi-refseqs-srlv	SRLV	guizhou	China	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT749881	KT749881	KT749881/B/B1/China/-/gs-35V		ncbi-refseqs-srlv	SRLV	gs-35V	China	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KT898826	KT898826	KT898826/A/A0/Jordan/2007/2007		ncbi-refseqs-srlv	SRLV	2007	Jordan	A0	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KY358787	KY358787	KY358787/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/KY358788	KY358788	KY358788/A/A3/United States/2003/2003		ncbi-refseqs-srlv	SRLV	2003	United States	A3	A	2003
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/M10608	M10608	M10608/A/A1/Iceland/1953/1953		ncbi-refseqs-srlv	SRLV	1953	Iceland	A1	A	1953
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/M31646	M31646	M31646/A/A1/South Africa/1976/1976		ncbi-refseqs-srlv	SRLV	1976	South Africa	A1	A	1976
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/M34193	M34193	M34193/A/A1/South Africa/1976/1976		ncbi-refseqs-srlv	SRLV	1976	South Africa	A1	A	1976
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/M51543	M51543	M51543/A/A1/Iceland/1952/1952		ncbi-refseqs-srlv	SRLV	1952	Iceland	A1	A	1952
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/M60610	M60610	M60610/A/A1/Iceland/1949/1949		ncbi-refseqs-srlv	SRLV	1949	Iceland	A1	A	1949
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554402	MG554402	MG554402/B/B2/Italy/-/SRLV001		ncbi-refseqs-srlv	SRLV	SRLV001	Italy	B2	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554403	MG554403	MG554403/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554404	MG554404	MG554404/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554405	MG554405	MG554405/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554406	MG554406	MG554406/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554407	MG554407	MG554407/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554408	MG554408	MG554408/A/A8/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A8	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554409	MG554409	MG554409/A/A1/Italy/2008/2008		ncbi-refseqs-srlv	SRLV	2008	Italy	A1	A	2008
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554410	MG554410	MG554410/B/B1/Italy/-/SRLV010		ncbi-refseqs-srlv	SRLV	SRLV010	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554411	MG554411	MG554411/B/B1/Italy/-/SRLV014		ncbi-refseqs-srlv	SRLV	SRLV014	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554412	MG554412	MG554412/B/B1/Italy/-/SRLV016		ncbi-refseqs-srlv	SRLV	SRLV016	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554413	MG554413	MG554413/B/B1/Italy/-/SRLV017		ncbi-refseqs-srlv	SRLV	SRLV017	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG554414	MG554414	MG554414/B/B1/Italy/-/SRLV020		ncbi-refseqs-srlv	SRLV	SRLV020	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MG996440	MG996440	MG996440/B/B1/Mexico/2013/2013		ncbi-refseqs-srlv	SRLV	2013	Mexico	B1	B	2013
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374283	MH374283	MH374283/A/A8/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A8	A	2017
