taxon	sequenceID	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_SRLV_B1/member/ncbi-refseqs-srlv/AY900630	AY900630	-	ncbi-refseqs-srlv	SRLV	gansu	China	1	B	1992
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256638	DL256638	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256640	DL256640	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256650	DL256650	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256652	DL256652	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256654	DL256654	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256660	DL256660	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256666	DL256666	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256670	DL256670	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256674	DL256674	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256676	DL256676	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256678	DL256678	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256680	DL256680	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256682	DL256682	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256685	DL256685	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256688	DL256688	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DL256694	DL256694	-	ncbi-nuccore-srlv	SRLV	-	-	1	B	-
alignment/AL_SRLV_B1/member/ncbi-nuccore-srlv/DQ084345	DQ084345	-	ncbi-nuccore-srlv	SRLV	Ov3	Spain	1	B	-
