Accession	Species	Subgenus	Country	Place_sampled	Isolation Year	Genotype	Subtype	Strain/clone	Length	pubmed_id	Genomic region	Region
AF479638	Ovis aries	Ovine-Caprine	Portugal		1996	A	1	P1OLV	9189		Genome	Europe
AY445885	Capra hircus	Ovine-Caprine	Switzerland		1999	A	4	G4668	9023		Genome	Europe
AY900630	Capra hircus	Ovine-Caprine	China		1992	B	1	Gansu	9186		Genome	E. Asia
EU293537	Capra hircus	Ovine-Caprine	Italy		NK	E	1	Roccaverano	8418		Genome	Europe
FJ195346	Ovis aries	Ovine-Caprine	Spain		2004	B	2	496	9136		Genome	Europe
GQ381130	Capra hircus	Ovine-Caprine	Italy		NK	E	2	Seui	8437		Genome	Europe
GU120138	Capra hircus	Ovine-Caprine	China		2009	B	1	Shanxi	9065		Genome	E. Asia
HM210570	Capra	Ovine-Caprine	Mexico		2004	B	1	FESC-752	9090		Genome	N. America
HQ848062	Ovis aries	Ovine-Caprine	Spain		2005	A	4	697	9175		Genome	Europe
JF502417	Ovis aries	Ovine-Caprine	Italy		2004	B	3	Volterra	9152 bp		Genome	Europe
KT214469	Capra hircus	Ovine-Caprine	China		1993	B	1	Sichuan	9138		Genome	
KT453988	Capra hircus	Ovine-Caprine	Switzerland		2011	A	NK	g6221	9464		Genome	Europe
KT453989	Ovis aries	Ovine-Caprine	Switzerland		2011	A	NK	s7385	9464		Genome	Europe
KT453990	Ovis aries	Ovine-Caprine	Switzerland		2011	A	NK	s7631	9464		Genome	Europe
KT749878	Capra hircus	Ovine-Caprine	China		1993	B	1	Shandong	9172		Genome	E. Asia
KT749879	Capra hircus	Ovine-Caprine	China		1993	B	1	Shaanxi	9163		Genome	E. Asia
KT749880	Capra hircus	Ovine-Caprine	China		NK	B	1	guizhou	9118		Genome	E. Asia
KT749881	Capra hircus	Ovine-Caprine	China		NK	B	1	gs-35V	9171		Genome	E. Asia
KT898826	Ovis aries	Ovine-Caprine	Jordan		2007	A	0	Jord1	9136		Genome	W. Asia
KY358787	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200303013-1	9206		Genome	N. America
KY358788	Ovis aries	Ovine-Caprine	United States		2003	A	3	USMARC-199906011-2	9185		Genome	N. America
