taxon	sequenceID	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/A15114	A15114	-	ncbi-nuccore-srlv	SRLV	-	-	1	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AB818536	AB818536	24141278	ncbi-nuccore-srlv	SRLV	Iwate	Japan	3	A	-
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/AF479638	AF479638	15284480	ncbi-refseqs-srlv	SRLV	P1OLV	Portugal	1	A	1996
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY101611	AY101611	-	ncbi-nuccore-srlv	SRLV	85/34	USA	3	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY265455	AY265455	15778023	ncbi-nuccore-srlv	SRLV	It-561	Italy	1	A	1991
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY265456	AY265456	15778023	ncbi-nuccore-srlv	SRLV	It-Pi1	Italy	2	A	1991
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/AY445885	AY445885	14967484	ncbi-refseqs-srlv	SRLV	-	Switzerland	4	A	1999
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU010123	EU010123	18024912	ncbi-nuccore-srlv	SRLV	It-017.16g03	Italy	1	A	2006
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU010125	EU010125	18024912	ncbi-nuccore-srlv	SRLV	It-008g03	Italy	8	A	2006
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255385	GQ255385	20016044	ncbi-nuccore-srlv	SRLV	18.4	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255386	GQ255386	20016044	ncbi-nuccore-srlv	SRLV	27.1_(June)	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255391	GQ255391	20016044	ncbi-nuccore-srlv	SRLV	68.2	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255401	GQ255401	20016044	ncbi-nuccore-srlv	SRLV	76.4	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255403	GQ255403	20016044	ncbi-nuccore-srlv	SRLV	83.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255411	GQ255411	20016044	ncbi-nuccore-srlv	SRLV	89.1_(20AUG)	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255417	GQ255417	20016044	ncbi-nuccore-srlv	SRLV	99.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255423	GQ255423	20016044	ncbi-nuccore-srlv	SRLV	101.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255428	GQ255428	20016044	ncbi-nuccore-srlv	SRLV	10.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255433	GQ255433	20016044	ncbi-nuccore-srlv	SRLV	WLC-1.1	United States	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ158132	HQ158132	21639904	ncbi-nuccore-srlv	SRLV	O16A-27	Canada	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ158133	HQ158133	21639904	ncbi-nuccore-srlv	SRLV	O23F-17	Canada	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ158134	HQ158134	21639904	ncbi-nuccore-srlv	SRLV	O23F-18	Canada	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ158135	HQ158135	21639904	ncbi-nuccore-srlv	SRLV	O23117	Canada	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ158136	HQ158136	21639904	ncbi-nuccore-srlv	SRLV	O5A-34	Canada	3	A	2004
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/HQ848062	HQ848062	21940116	ncbi-refseqs-srlv	SRLV	697	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184351	JN184351	23375019	ncbi-nuccore-srlv	SRLV	72	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184352	JN184352	23375019	ncbi-nuccore-srlv	SRLV	160	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184353	JN184353	23375019	ncbi-nuccore-srlv	SRLV	166	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184354	JN184354	23375019	ncbi-nuccore-srlv	SRLV	292	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184355	JN184355	23375019	ncbi-nuccore-srlv	SRLV	333	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184356	JN184356	23375019	ncbi-nuccore-srlv	SRLV	336	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184357	JN184357	23375019	ncbi-nuccore-srlv	SRLV	358	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184358	JN184358	23375019	ncbi-nuccore-srlv	SRLV	368	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184359	JN184359	23375019	ncbi-nuccore-srlv	SRLV	698	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155690	KC155690	23583225	ncbi-nuccore-srlv	SRLV	7-29Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155691	KC155691	23583225	ncbi-nuccore-srlv	SRLV	7-30Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155692	KC155692	23583225	ncbi-nuccore-srlv	SRLV	7-34Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155693	KC155693	23583225	ncbi-nuccore-srlv	SRLV	7-35Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155694	KC155694	23583225	ncbi-nuccore-srlv	SRLV	7-38Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155695	KC155695	23583225	ncbi-nuccore-srlv	SRLV	8-1Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155696	KC155696	23583225	ncbi-nuccore-srlv	SRLV	8-2Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155697	KC155697	23583225	ncbi-nuccore-srlv	SRLV	9-1Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155698	KC155698	23583225	ncbi-nuccore-srlv	SRLV	9-2Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155699	KC155699	23583225	ncbi-nuccore-srlv	SRLV	9-3Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155700	KC155700	23583225	ncbi-nuccore-srlv	SRLV	9-4Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155701	KC155701	23583225	ncbi-nuccore-srlv	SRLV	9-5Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155702	KC155702	23583225	ncbi-nuccore-srlv	SRLV	9-6Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155703	KC155703	23583225	ncbi-nuccore-srlv	SRLV	9-7Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155704	KC155704	23583225	ncbi-nuccore-srlv	SRLV	9-8Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155705	KC155705	23583225	ncbi-nuccore-srlv	SRLV	9-9Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155706	KC155706	23583225	ncbi-nuccore-srlv	SRLV	9-10Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155707	KC155707	23583225	ncbi-nuccore-srlv	SRLV	9-14Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155708	KC155708	23583225	ncbi-nuccore-srlv	SRLV	9-16Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155709	KC155709	23583225	ncbi-nuccore-srlv	SRLV	9-17Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155710	KC155710	23583225	ncbi-nuccore-srlv	SRLV	9-18Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155711	KC155711	23583225	ncbi-nuccore-srlv	SRLV	9-20Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155712	KC155712	23583225	ncbi-nuccore-srlv	SRLV	9-21Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155713	KC155713	23583225	ncbi-nuccore-srlv	SRLV	9-22Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155714	KC155714	23583225	ncbi-nuccore-srlv	SRLV	9-23Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155715	KC155715	23583225	ncbi-nuccore-srlv	SRLV	9-25Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155716	KC155716	23583225	ncbi-nuccore-srlv	SRLV	9-26Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155717	KC155717	23583225	ncbi-nuccore-srlv	SRLV	9-27Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155718	KC155718	23583225	ncbi-nuccore-srlv	SRLV	9-28Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155719	KC155719	23583225	ncbi-nuccore-srlv	SRLV	9-29Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155720	KC155720	23583225	ncbi-nuccore-srlv	SRLV	9-30Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155721	KC155721	23583225	ncbi-nuccore-srlv	SRLV	11-1Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155722	KC155722	23583225	ncbi-nuccore-srlv	SRLV	11-2Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155723	KC155723	23583225	ncbi-nuccore-srlv	SRLV	11-4Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155724	KC155724	23583225	ncbi-nuccore-srlv	SRLV	11-12Ont	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155725	KC155725	23583225	ncbi-nuccore-srlv	SRLV	11-13	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155726	KC155726	23583225	ncbi-nuccore-srlv	SRLV	11-16	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155727	KC155727	23583225	ncbi-nuccore-srlv	SRLV	11-19	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155728	KC155728	23583225	ncbi-nuccore-srlv	SRLV	11-22	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155729	KC155729	23583225	ncbi-nuccore-srlv	SRLV	11-23	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155730	KC155730	23583225	ncbi-nuccore-srlv	SRLV	11-24	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155731	KC155731	23583225	ncbi-nuccore-srlv	SRLV	11-25	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155732	KC155732	23583225	ncbi-nuccore-srlv	SRLV	11-26	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155733	KC155733	23583225	ncbi-nuccore-srlv	SRLV	11-27	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155734	KC155734	23583225	ncbi-nuccore-srlv	SRLV	11-28	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155735	KC155735	23583225	ncbi-nuccore-srlv	SRLV	11-31	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155736	KC155736	23583225	ncbi-nuccore-srlv	SRLV	11-32	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155737	KC155737	23583225	ncbi-nuccore-srlv	SRLV	11-36	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155738	KC155738	23583225	ncbi-nuccore-srlv	SRLV	11-37	Canada	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/KC155739	KC155739	23583225	ncbi-nuccore-srlv	SRLV	11-39	Canada	3	A	2011
