taxon	sequenceID	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/A15114	A15114	-	ncbi-nuccore-srlv	SRLV	-	-	1	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AB818536	AB818536	24141278	ncbi-nuccore-srlv	SRLV	Iwate	Japan	3	A	-
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/AF479638	AF479638	15284480	ncbi-refseqs-srlv	SRLV	P1OLV	Portugal	1	A	1996
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY101611	AY101611	-	ncbi-nuccore-srlv	SRLV	85/34	USA	3	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY265455	AY265455	15778023	ncbi-nuccore-srlv	SRLV	It-561	Italy	1	A	1991
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/AY265456	AY265456	15778023	ncbi-nuccore-srlv	SRLV	It-Pi1	Italy	2	A	1991
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/AY445885	AY445885	14967484	ncbi-refseqs-srlv	SRLV	-	Switzerland	4	A	1999
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/DQ084347	DQ084347	-	ncbi-nuccore-srlv	SRLV	Ov8	Spain	4	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/DQ442649	DQ442649	17337054	ncbi-nuccore-srlv	SRLV	21PL	Poland	3	A	-
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU010123	EU010123	18024912	ncbi-nuccore-srlv	SRLV	It-017.16g03	Italy	1	A	2006
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU010125	EU010125	18024912	ncbi-nuccore-srlv	SRLV	It-008g03	Italy	8	A	2006
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU818772	EU818772	18986775	ncbi-nuccore-srlv	SRLV	S-1PE	Norway	1	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/EU818773	EU818773	18986775	ncbi-nuccore-srlv	SRLV	NMV1	Norway	1	A	1976
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/FJ623120	FJ623120	22155513	ncbi-nuccore-srlv	SRLV	0016	Poland	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/FJ623122	FJ623122	22155513	ncbi-nuccore-srlv	SRLV	4007	Poland	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/FJ623123	FJ623123	22155513	ncbi-nuccore-srlv	SRLV	4819	Poland	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/FJ623124	FJ623124	22155513	ncbi-nuccore-srlv	SRLV	90472	Poland	1	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255385	GQ255385	20016044	ncbi-nuccore-srlv	SRLV	18.4	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255386	GQ255386	20016044	ncbi-nuccore-srlv	SRLV	27.1_(June)	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255391	GQ255391	20016044	ncbi-nuccore-srlv	SRLV	68.2	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255401	GQ255401	20016044	ncbi-nuccore-srlv	SRLV	76.4	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255403	GQ255403	20016044	ncbi-nuccore-srlv	SRLV	83.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255411	GQ255411	20016044	ncbi-nuccore-srlv	SRLV	89.1_(20AUG)	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255417	GQ255417	20016044	ncbi-nuccore-srlv	SRLV	99.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255423	GQ255423	20016044	ncbi-nuccore-srlv	SRLV	101.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255428	GQ255428	20016044	ncbi-nuccore-srlv	SRLV	10.1	United States	3	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/GQ255433	GQ255433	20016044	ncbi-nuccore-srlv	SRLV	WLC-1.1	United States	3	A	2008
alignment/AL_SRLV_A/member/ncbi-refseqs-srlv/HQ848062	HQ848062	21940116	ncbi-refseqs-srlv	SRLV	697	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910460	HQ910460	-	ncbi-nuccore-srlv	SRLV	6-11s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910461	HQ910461	-	ncbi-nuccore-srlv	SRLV	6-13s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910462	HQ910462	-	ncbi-nuccore-srlv	SRLV	6-14s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910463	HQ910463	-	ncbi-nuccore-srlv	SRLV	6-15s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910464	HQ910464	-	ncbi-nuccore-srlv	SRLV	6-16s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910465	HQ910465	-	ncbi-nuccore-srlv	SRLV	6-17s	Slovenia	1	A	2007
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910466	HQ910466	-	ncbi-nuccore-srlv	SRLV	2-8g	Slovenia	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910467	HQ910467	-	ncbi-nuccore-srlv	SRLV	2-15g	Slovenia	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910468	HQ910468	-	ncbi-nuccore-srlv	SRLV	2-26g	Slovenia	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910469	HQ910469	-	ncbi-nuccore-srlv	SRLV	2-33g	Slovenia	1	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910470	HQ910470	-	ncbi-nuccore-srlv	SRLV	2-55g	Slovenia	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/HQ910471	HQ910471	-	ncbi-nuccore-srlv	SRLV	2-97g	Slovenia	3	A	2008
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184351	JN184351	23375019	ncbi-nuccore-srlv	SRLV	72	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184352	JN184352	23375019	ncbi-nuccore-srlv	SRLV	160	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184353	JN184353	23375019	ncbi-nuccore-srlv	SRLV	166	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184354	JN184354	23375019	ncbi-nuccore-srlv	SRLV	292	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184355	JN184355	23375019	ncbi-nuccore-srlv	SRLV	333	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184356	JN184356	23375019	ncbi-nuccore-srlv	SRLV	336	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184357	JN184357	23375019	ncbi-nuccore-srlv	SRLV	358	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184358	JN184358	23375019	ncbi-nuccore-srlv	SRLV	368	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184359	JN184359	23375019	ncbi-nuccore-srlv	SRLV	698	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184362	JN184362	23375019	ncbi-nuccore-srlv	SRLV	78	Spain	4	A	2005
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184363	JN184363	23375019	ncbi-nuccore-srlv	SRLV	2843ES	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184364	JN184364	23375019	ncbi-nuccore-srlv	SRLV	5776	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184365	JN184365	23375019	ncbi-nuccore-srlv	SRLV	13504	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184366	JN184366	23375019	ncbi-nuccore-srlv	SRLV	971092	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184367	JN184367	23375019	ncbi-nuccore-srlv	SRLV	5485DP	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184368	JN184368	23375019	ncbi-nuccore-srlv	SRLV	3714	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184369	JN184369	23375019	ncbi-nuccore-srlv	SRLV	N-376a	Spain	4	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184370	JN184370	23375019	ncbi-nuccore-srlv	SRLV	N-378	Spain	4	A	2004
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184371	JN184371	23375019	ncbi-nuccore-srlv	SRLV	8152	Spain	1	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JN184372	JN184372	23375019	ncbi-nuccore-srlv	SRLV	BL5761	Spain	4	A	2002
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610905	JQ610905	24004524	ncbi-nuccore-srlv	SRLV	35-36s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610906	JQ610906	24004524	ncbi-nuccore-srlv	SRLV	35-73s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610907	JQ610907	24004524	ncbi-nuccore-srlv	SRLV	35-1s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610908	JQ610908	24004524	ncbi-nuccore-srlv	SRLV	35-7s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610909	JQ610909	24004524	ncbi-nuccore-srlv	SRLV	36-1s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610910	JQ610910	24004524	ncbi-nuccore-srlv	SRLV	36-22s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610911	JQ610911	24004524	ncbi-nuccore-srlv	SRLV	36-27s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610912	JQ610912	24004524	ncbi-nuccore-srlv	SRLV	36-30s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610913	JQ610913	24004524	ncbi-nuccore-srlv	SRLV	36-48s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610914	JQ610914	24004524	ncbi-nuccore-srlv	SRLV	36-61s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610915	JQ610915	24004524	ncbi-nuccore-srlv	SRLV	36-67s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610916	JQ610916	24004524	ncbi-nuccore-srlv	SRLV	36-70s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610917	JQ610917	24004524	ncbi-nuccore-srlv	SRLV	35-44s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610918	JQ610918	24004524	ncbi-nuccore-srlv	SRLV	35-46s	Slovenia	1	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610919	JQ610919	24004524	ncbi-nuccore-srlv	SRLV	35-49s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610920	JQ610920	24004524	ncbi-nuccore-srlv	SRLV	35-57s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610921	JQ610921	24004524	ncbi-nuccore-srlv	SRLV	35-59s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610922	JQ610922	24004524	ncbi-nuccore-srlv	SRLV	35-60s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610923	JQ610923	24004524	ncbi-nuccore-srlv	SRLV	35-63s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610924	JQ610924	24004524	ncbi-nuccore-srlv	SRLV	35-4s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610925	JQ610925	24004524	ncbi-nuccore-srlv	SRLV	35-12s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610926	JQ610926	24004524	ncbi-nuccore-srlv	SRLV	35-94s	Slovenia	3	A	2011
alignment/AL_SRLV_A/member/ncbi-nuccore-srlv/JQ610927	JQ610927	24004524	ncbi-nuccore-srlv	SRLV	35-97s	Slovenia	3	A	2011
